application_id: 1	name: MCS_distance_20.0_sigmaloc1_10.0_sigmaloc2_10.0_sigmasigmaloc1_2.0_sigmasigmaloc2_2.0_frames_10_numberofspots_1000_sample-heterogeneity_0_repeat_1.txt	filepath: /Volumes/blank	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x(nm)	y(nm)	intensity	background	width	a	theta	sigma	int_ratio	alt_sigma	intensity_aperture	background_aperture
123	3	1	1	7	1	1	12497.1663217	12499.7698505	1	1	1	1	1	9.92413533723	1	1	1	1
124	4	1	1	7	1	1	12510.9325126	12488.2499413	1	1	1	1	1	9.98757459413	1	1	1	1
125	5	1	1	7	1	1	12475.1761418	12476.6601956	1	1	1	1	1	12.0790742926	1	1	1	1
126	6	1	1	7	1	1	12497.4018884	12488.9487978	1	1	1	1	1	6.58028841298	1	1	1	1
127	7	1	1	7	1	1	12476.8179011	12505.0901011	1	1	1	1	1	10.2270737393	1	1	1	1
128	8	1	1	7	1	1	12505.7354288	12481.8171933	1	1	1	1	1	8.3894271335	1	1	1	1
129	9	1	1	7	1	1	12495.3475508	12508.7289038	1	1	1	1	1	8.82000545948	1	1	1	1
130	10	1	1	7	1	1	12496.4102652	12502.3303342	1	1	1	1	1	11.520421401	1	1	1	1
131	1	1	2	7	1	1	12522.6343024	12502.6020297	1	1	1	1	1	9.40639634062	1	1	1	1
132	2	1	2	7	1	1	12516.1656791	12481.1160412	1	1	1	1	1	9.37880709541	1	1	1	1
133	3	1	2	7	1	1	12512.4164746	12507.9321135	1	1	1	1	1	13.3530199473	1	1	1	1
134	4	1	2	7	1	1	12503.2911736	12496.1421651	1	1	1	1	1	8.04876001426	1	1	1	1
135	5	1	2	7	1	1	12527.2649848	12502.0738033	1	1	1	1	1	8.57545606371	1	1	1	1
136	6	1	2	7	1	1	12536.1454744	12528.7151815	1	1	1	1	1	12.849147272	1	1	1	1
137	7	1	2	7	1	1	12530.4447434	12492.934997	1	1	1	1	1	8.08362556475	1	1	1	1
138	8	1	2	7	1	1	12523.8662691	12491.1542715	1	1	1	1	1	8.42381481045	1	1	1	1
139	9	1	2	7	1	1	12499.6389989	12528.526285	1	1	1	1	1	14.6876220261	1	1	1	1
140	10	1	2	7	1	1	12516.221395	12502.1790677	1	1	1	1	1	7.12455801459	1	1	1	1
141	1	1	1	8	1	1	12475.4748546	12505.6573969	1	1	1	1	1	9.48814979171	1	1	1	1
142	2	1	1	8	1	1	12488.8326952	12511.6114276	1	1	1	1	1	7.2251570157	1	1	1	1
143	3	1	1	8	1	1	12498.0378795	12497.5771808	1	1	1	1	1	5.42113847127	1	1	1	1
144	4	1	1	8	1	1	12501.5225347	12506.0800122	1	1	1	1	1	13.4646285829	1	1	1	1
145	5	1	1	8	1	1	12510.6331463	12492.9945311	1	1	1	1	1	8.97838453496	1	1	1	1
146	6	1	1	8	1	1	12510.0554376	12503.9312296	1	1	1	1	1	8.72134051101	1	1	1	1
147	7	1	1	8	1	1	12510.9444158	12502.1098131	1	1	1	1	1	8.95799799123	1	1	1	1
148	8	1	1	8	1	1	12490.8090175	12498.2587555	1	1	1	1	1	13.1015682118	1	1	1	1
149	9	1	1	8	1	1	12489.4121242	12504.8656888	1	1	1	1	1	8.5061156576	1	1	1	1
150	10	1	1	8	1	1	12482.535346	12515.148765	1	1	1	1	1	10.256979489	1	1	1	1
151	1	1	2	8	1	1	12511.1364792	12492.057383	1	1	1	1	1	7.98375465391	1	1	1	1
152	2	1	2	8	1	1	12521.8241128	12494.9557591	1	1	1	1	1	11.232106006	1	1	1	1
153	3	1	2	8	1	1	12495.4827316	12501.2614486	1	1	1	1	1	9.43820843018	1	1	1	1
